isbn,title,author,publicationyear,bookimage,numpages,rating,genre,bookurl,language,price,,,,,,,
157748651X,Harriet Tubman (Christian Library),C. Grant,1999,http://images.amazon.com/images/P/157748651X.01.LZZZZZZZ.jpg,224,4.3,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.65,,,,,,,
006109594X,Nimitz Class,Patrick Robinson,1998,http://images.amazon.com/images/P/006109594X.01.LZZZZZZZ.jpg,487,3.92,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,7.39,,,,,,,
006028062X,The Princess Test (Princess Tales),Gail Carson Levine,1999,http://images.amazon.com/images/P/006028062X.01.LZZZZZZZ.jpg,91,3.77,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.37,,,,,,,
1588370232,The Feet in the Gym,Teri Daniels,2001,http://images.amazon.com/images/P/1588370232.01.LZZZZZZZ.jpg,34,4.1,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,3.24,,,,,,,
039567347X,Bad Day at Riverbend,Chris Van Allsburg,1995,http://images.amazon.com/images/P/039567347X.01.LZZZZZZZ.jpg,32,4.11,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,13.27,,,,,,,
037582412X,The Secret of the Mansion (Trixie Belden),JULIE CAMPBELL,2003,http://images.amazon.com/images/P/037582412X.01.LZZZZZZZ.jpg,264,4.13,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,6.32,,,,,,,
193156146X,The Time Traveler's Wife,Audrey Niffenegger,2003,http://images.amazon.com/images/P/193156146X.01.LZZZZZZZ.jpg,522,3.97,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,7.86,,,,,,,
225300670X,A l'Ouest rien de nouveau,Erich Maria Remarque,1973,http://images.amazon.com/images/P/225300670X.01.LZZZZZZZ.jpg,253,3.97,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,3.68,,,,,,,
039304016X,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,http://images.amazon.com/images/P/039304016X.01.LZZZZZZZ.jpg,227,4.09,Biography & Autobiography,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.52,,,,,,,
086547673X,Birds in the Hand : Fiction and Poetry about Birds,Dylan Nelson,2004,http://images.amazon.com/images/P/086547673X.01.LZZZZZZZ.jpg,374,3.5,Travel & Nature,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,9.6,,,,,,,
1858813093,Nessie: The Loch Ness Monster,Richard Brassey,2003,http://images.amazon.com/images/P/1858813093.01.LZZZZZZZ.jpg,24,3.98,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,5,,,,,,,
1930051999,Eternal Treblinka: Our Treatment of Animals and the Holocaust,Charles Patterson,2002,http://images.amazon.com/images/P/1930051999.01.LZZZZZZZ.jpg,312,4.27,Travel & Nature,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,13.91,,,,,,,
1585007366,Sang Froyd (Balona Books),Jonathan Pearce,1999,http://images.amazon.com/images/P/1585007366.01.LZZZZZZZ.jpg,220,0,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,7.65,,,,,,,
068982680X,FATHER'S ARCANE DAUGHTER,E.L. Konigsburg,1999,http://images.amazon.com/images/P/068982680X.01.LZZZZZZZ.jpg,118,3.75,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,8.55,,,,,,,
155143203X,Birdie for Now (Orca Young Reader),Jean Little,2002,http://images.amazon.com/images/P/155143203X.01.LZZZZZZZ.jpg,154,4.06,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.98,,,,,,,
088899222X,The Baby Project,Sarah Ellis,1995,http://images.amazon.com/images/P/088899222X.01.LZZZZZZZ.jpg,144,3.6,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,10.37,,,,,,,
1886910022,What Jamie Saw (Newbery Honor Book),Carolyn Coman,1995,http://images.amazon.com/images/P/1886910022.01.LZZZZZZZ.jpg,126,3.58,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.56,,,,,,,
059095735X,The Silly Gooses,Dav Pilkey,2000,http://images.amazon.com/images/P/059095735X.01.LZZZZZZZ.jpg,39,3.91,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,8.39,,,,,,,
1563892944,Dc Versus Marvel Comics,Ron Marz,1996,http://images.amazon.com/images/P/1563892944.01.LZZZZZZZ.jpg,167,3.69,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.33,,,,,,,
1569317666,Zoids Chaotic Century (Zoids: Chaotic Century (Graphic Novels)),Michiro Ueyama,2002,http://images.amazon.com/images/P/1569317666.01.LZZZZZZZ.jpg,80,4.33,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,13.22,,,,,,,
074342221X,Beauty Sleep,Cameron Dokey,2002,http://images.amazon.com/images/P/074342221X.01.LZZZZZZZ.jpg,187,3.65,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,12.9,,,,,,,
1577484533,Battling the Klan (The American Adventure),Norma Jean Lutz,1998,http://images.amazon.com/images/P/1577484533.01.LZZZZZZZ.jpg,144,3.71,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.03,,,,,,,
014031718X,A Fair Wind for Troy (Greek Myths Series),Doris Gates,1984,http://images.amazon.com/images/P/014031718X.01.LZZZZZZZ.jpg,96,3.33,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,6.91,,,,,,,
015201697X,Tam Lin,Jane Yolen,1998,http://images.amazon.com/images/P/015201697X.01.LZZZZZZZ.jpg,32,4.06,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.66,,,,,,,
1579120164,Hans Holzer's Travel Guide to Haunted Houses,Hans Holzer,1999,http://images.amazon.com/images/P/1579120164.01.LZZZZZZZ.jpg,224,3.94,Travel & Nature,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,6.06,,,,,,,
068985563X,Jimmy Zangwow's Out-of-This-World Moon-Pie Adventure,Tony DiTerlizzi,2003,http://images.amazon.com/images/P/068985563X.01.LZZZZZZZ.jpg,40,4.17,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,8.82,,,,,,,
039480600X,Witch Week,Diana Wynne Jones,1988,http://images.amazon.com/images/P/039480600X.01.LZZZZZZZ.jpg,272,3.92,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.36,,,,,,,
1860462995,The Swan: A Novel,Sebastiano Vassalli,1998,http://images.amazon.com/images/P/1860462995.01.LZZZZZZZ.jpg,180,3.48,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,5.17,,,,,,,
080244105X,Secret of the Planet Makon (Daystar Voyages),Gilbert Morris,1998,http://images.amazon.com/images/P/080244105X.01.LZZZZZZZ.jpg,160,3.82,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4,,,,,,,
037580210X,Party Girl,Lynne Ewing,1999,http://images.amazon.com/images/P/037580210X.01.LZZZZZZZ.jpg,128,3.84,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.01,,,,,,,
006001220X,Josephine and the Soldier (An Avon True Romance),Beverly Jenkins,2003,http://images.amazon.com/images/P/006001220X.01.LZZZZZZZ.jpg,320,4.19,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.89,,,,,,,
2203001046,Le Lotus Bleu / The Blue Lotus (Tintin),Herge,1999,http://images.amazon.com/images/P/2203001046.01.LZZZZZZZ.jpg,62,4.05,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,12.99,,,,,,,
067153551X,The Puppy Problem (Nancy Drew Notebook 12) : The Puppy Problem,Carolyn Keene,1996,http://images.amazon.com/images/P/067153551X.01.LZZZZZZZ.jpg,80,3.83,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.25,,,,,,,
089565685X,One Tricky Monkey Up on Top (Magic Castle Readers Math),Jane Belk Moncure,1988,http://images.amazon.com/images/P/089565685X.01.LZZZZZZZ.jpg,31,3.5,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.75,,,,,,,
089565671X,A Dragon in a Wagon (Magic Castle Readers Language Arts),Jane Belk Moncure,1988,http://images.amazon.com/images/P/089565671X.01.LZZZZZZZ.jpg,31,4.08,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.42,,,,,,,
006440725X,How I Survived Being a Girl,Wendelin Van Draanen,1998,http://images.amazon.com/images/P/006440725X.01.LZZZZZZZ.jpg,176,3.58,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.82,,,,,,,
034545829X,Waking Up Screaming: Haunting Tales of Terror,H. P. Lovecraft,2003,http://images.amazon.com/images/P/034545829X.01.LZZZZZZZ.jpg,370,4.11,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,9.44,,,,,,,
1558612815,Allegra Maud Goldman,Edith Konecky,2001,http://images.amazon.com/images/P/1558612815.01.LZZZZZZZ.jpg,288,4.15,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.32,,,,,,,
3453132262,Die Wolfsfrau. Die Kraft der weiblichen Urinstinkte.,Clarissa Pinkola Estes,1997,http://images.amazon.com/images/P/3453132262.01.LZZZZZZZ.jpg,560,4.11,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,13,,,,,,,
044100962X,Myth-Ion Improbable (Myth Books),Robert Asprin,2002,http://images.amazon.com/images/P/044100962X.01.LZZZZZZZ.jpg,198,3.79,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.26,,,,,,,
1569471800,The Distance Between,Eliza Osborne,2000,http://images.amazon.com/images/P/1569471800.01.LZZZZZZZ.jpg,212,3.15,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.9,,,,,,,
038533303X,Driving Mr. Albert: A Trip Across America With Einstein's Brain,Michael Paterniti,2001,http://images.amazon.com/images/P/038533303X.01.LZZZZZZZ.jpg,211,3.35,Biography & Autobiography,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,3.78,,,,,,,
1885211635,Last Trout in Venice: The Far-Flung Escapades of an Accidental Adventurer,Doug Lansky,2001,http://images.amazon.com/images/P/1885211635.01.LZZZZZZZ.jpg,288,3.31,Travel & Nature,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,10.35,,,,,,,
8408041487,Berlin (Lonely Planet (Spanish)),Andrea Schulte-Peevers,2002,http://images.amazon.com/images/P/8408041487.01.LZZZZZZZ.jpg,328,4.03,Travel & Nature,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.31,,,,,,,
3821807059,Herr Lehmann. Ein Roman.,Sven Regener,2001,http://images.amazon.com/images/P/3821807059.01.LZZZZZZZ.jpg,300,3.87,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.72,,,,,,,
031227999X,Emotionally Weird: A Novel,Kate Atkinson,2001,http://images.amazon.com/images/P/031227999X.01.LZZZZZZZ.jpg,368,3.45,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,6.83,,,,,,,
031298250X,America : A Jake Grafton Novel (A Jake Grafton Novel),Stephen Coonts,2002,http://images.amazon.com/images/P/031298250X.01.LZZZZZZZ.jpg,400,4.04,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,5.59,,,,,,,
031231616X,I Capture the Castle,Dodie Smith,2003,http://images.amazon.com/images/P/031231616X.01.LZZZZZZZ.jpg,343,4,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,12.38,,,,,,,
089480829X,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996,http://images.amazon.com/images/P/089480829X.01.LZZZZZZZ.jpg,479,3.78,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,3.82,,,,,,,
1551669501,Diamond Spur,Diana Palmer,2002,http://images.amazon.com/images/P/1551669501.01.LZZZZZZZ.jpg,416,3.93,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.62,,,,,,,
157566559X,The Biograph Girl,William J. Mann,2000,http://images.amazon.com/images/P/157566559X.01.LZZZZZZZ.jpg,457,3.63,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.45,,,,,,,
034543076X,Manifold: Time (Manifold (Paperback)),Stephen Baxter,2000,http://images.amazon.com/images/P/034543076X.01.LZZZZZZZ.jpg,480,3.76,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.56,,,,,,,
1550462016,Melody Wren's Tea Rooms of Southern Ontario,Melody Wren,1997,http://images.amazon.com/images/P/1550462016.01.LZZZZZZZ.jpg,120,0,Travel & Nature,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.03,,,,,,,
039914255X,Eat Right for Your Type,Peter J. D'Adamo,1996,http://images.amazon.com/images/P/039914255X.01.LZZZZZZZ.jpg,392,3.57,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,12.93,,,,,,,
006093395X,As the Romans Do: An American Family's Italian Odyssey,Alan Epstein,2001,http://images.amazon.com/images/P/006093395X.01.LZZZZZZZ.jpg,304,3.47,Travel & Nature,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,9.73,,,,,,,
1551051095,Animal Tracks of Ontario (Animal Tracks Guides),Ian Sheldon,1998,http://images.amazon.com/images/P/1551051095.01.LZZZZZZZ.jpg,159,3.73,Travel & Nature,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,12.46,,,,,,,
1587991039,Technomanifestos: Visions from the Information Revolutionaries,Adam Brate,2002,http://images.amazon.com/images/P/1587991039.01.LZZZZZZZ.jpg,371,3.73,Business & Economics,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,8.32,,,,,,,
067976402X,Snow Falling on Cedars,David Guterson,1995,http://images.amazon.com/images/P/067976402X.01.LZZZZZZZ.jpg,460,3.84,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.97,,,,,,,
156718796X,Astral Travel for Beginners (For Beginners),Richard Webster,1998,http://images.amazon.com/images/P/156718796X.01.LZZZZZZZ.jpg,256,3.81,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,6.46,,,,,,,
1862047626,New Perspectives: Runes,Bernard King,2000,http://images.amazon.com/images/P/1862047626.01.LZZZZZZZ.jpg,128,2.73,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,9.03,,,,,,,
1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,http://images.amazon.com/images/P/1878424319.01.LZZZZZZZ.jpg,140,4.16,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,10.97,,,,,,,
067169071X,EVERYTHING SHE EVER WANTED,Ann Rule,1993,http://images.amazon.com/images/P/067169071X.01.LZZZZZZZ.jpg,560,4,True Crime,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,10.08,,,,,,,
155143234X,Flight from Big Tangle (Orca Young Reader),Anita Daher,2003,http://images.amazon.com/images/P/155143234X.01.LZZZZZZZ.jpg,134,3.67,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,10.95,,,,,,,
1569314195,Pokemon Tales : Where's Clefairy's Voice? (Pokemon Tales),Junko Wada,1999,http://images.amazon.com/images/P/1569314195.01.LZZZZZZZ.jpg,18,4.14,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,11.41,,,,,,,
1859671500,Glorious Country: Food Crafts Decorating,Liz Trigg,1995,http://images.amazon.com/images/P/1859671500.01.LZZZZZZZ.jpg,256,2.5,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.99,,,,,,,
2277238929,De Bons Presages,T. Pratchett,1997,http://images.amazon.com/images/P/2277238929.01.LZZZZZZZ.jpg,439,4.25,Travel & Nature,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,7.76,,,,,,,
1570719586,God-Shaped Hole,Tiffanie DeBartolo,2002,http://images.amazon.com/images/P/1570719586.01.LZZZZZZZ.jpg,336,4.04,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,5.67,,,,,,,
1931646384,Never Act Your Age: Play the Happy Childlike Role Well at Every Age,Dale L. Anderson,2002,http://images.amazon.com/images/P/1931646384.01.LZZZZZZZ.jpg,128,5,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,7.67,,,,,,,
089587198X,Great Bike Rides in and Around Winston-Salem,Judi Lawson Wallace,2000,http://images.amazon.com/images/P/089587198X.01.LZZZZZZZ.jpg,268,0,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,5.02,,,,,,,
8479018070,Dejame Que Te CuenteÂ? / Let Me Tell You A Story,Jorge Bucay,2003,http://images.amazon.com/images/P/8479018070.01.LZZZZZZZ.jpg,253,4.05,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,9.32,,,,,,,
051512902X,After Dark,Jayne Castle,2000,http://images.amazon.com/images/P/051512902X.01.LZZZZZZZ.jpg,352,3.99,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,8.81,,,,,,,
8466307982,La joven de la perla,Tracy Chevalier,2002,http://images.amazon.com/images/P/8466307982.01.LZZZZZZZ.jpg,316,3.88,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,9.65,,,,,,,
044652767X,Seduction by Design,Sandra Brown,2001,http://images.amazon.com/images/P/044652767X.01.LZZZZZZZ.jpg,192,3.55,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.21,,,,,,,
8466302263,El Ultimo Judio (Punto de Lectura),Noah Gordon,2003,http://images.amazon.com/images/P/8466302263.01.LZZZZZZZ.jpg,207,4.1,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.3,,,,,,,
1561840599,Urban Voodoo: A Beginners Guide to Afro-Caribbean Magic,S. Jason Black,1993,http://images.amazon.com/images/P/1561840599.01.LZZZZZZZ.jpg,188,3.23,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.64,,,,,,,
156836010X,Having Our Say: The Delany Sisters' First 100 Years,Sarah Louise Delany,1993,http://images.amazon.com/images/P/156836010X.01.LZZZZZZZ.jpg,210,4.16,Biography & Autobiography,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,12.51,,,,,,,
093158079X,Do It! Let's Get Off Our But's (The Life 101 Series),Peter McWilliams,1994,http://images.amazon.com/images/P/093158079X.01.LZZZZZZZ.jpg,509,4.08,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,10.56,,,,,,,
068815252X,Book,Whoopi Goldberg,1997,http://images.amazon.com/images/P/068815252X.01.LZZZZZZZ.jpg,240,3.65,Humor,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.54,,,,,,,
1577310454,Maps to Ecstasy: A Healing Journey for the Untamed Spirit,Gabrielle Roth,1998,http://images.amazon.com/images/P/1577310454.01.LZZZZZZZ.jpg,224,4.26,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,13.27,,,,,,,
1565122798,Educating Esme: Diary of a Teacher's First Year,Esme Raji Codell,2001,http://images.amazon.com/images/P/1565122798.01.LZZZZZZZ.jpg,206,3.92,Biography & Autobiography,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,9.45,,,,,,,
1860467776,Jerk on One End: Reflections of a Mediocre Fisherman,Robert Hughes,2000,http://images.amazon.com/images/P/1860467776.01.LZZZZZZZ.jpg,109,3.76,Biography & Autobiography,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,6.81,,,,,,,
1577311868,Developing Intuition: Practical Guidance for Daily Life,Shakti Gawain,2001,http://images.amazon.com/images/P/1577311868.01.LZZZZZZZ.jpg,160,3.82,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,6.77,,,,,,,
1565842103,A Queer Reader,Patrick Higgins,1994,http://images.amazon.com/images/P/1565842103.01.LZZZZZZZ.jpg,384,4.06,Social Science,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,12.92,,,,,,,
068483376X,Succulent Wild Woman,Sark,1997,http://images.amazon.com/images/P/068483376X.01.LZZZZZZZ.jpg,144,4.14,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4,,,,,,,
1573229326,How to Be Good,Nick Hornby,2002,http://images.amazon.com/images/P/1573229326.01.LZZZZZZZ.jpg,305,3.19,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,6.88,,,,,,,
038072930X,Turbulent Souls: : A Catholic Son's Return To His Jewish Family,Stephen J. Dubner,1999,http://images.amazon.com/images/P/038072930X.01.LZZZZZZZ.jpg,368,3.98,Biography & Autobiography,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,4.99,,,,,,,
1563051729,Terrific Pacific Cookbook,Anya Von Bremzen,1995,http://images.amazon.com/images/P/1563051729.01.LZZZZZZZ.jpg,480,4.15,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,12.41,,,,,,,
8420443026,La educaciÃ³n de un hada,Didier Van Cauwelaert,2001,http://images.amazon.com/images/P/8420443026.01.LZZZZZZZ.jpg,248,3.68,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,10.72,,,,,,,
076113185X,Celebrate,Sheila Lukins,2003,http://images.amazon.com/images/P/076113185X.01.LZZZZZZZ.jpg,432,3.8,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,13.19,,,,,,,
081297106X,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003,http://images.amazon.com/images/P/081297106X.01.LZZZZZZZ.jpg,356,3.61,Biography & Autobiography,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,13.84,,,,,,,
1583913580,ADD-Friendly Ways to Organize Your Life,Judith Kolberg,2002,http://images.amazon.com/images/P/1583913580.01.LZZZZZZZ.jpg,266,4.03,Health & Fitness,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.59,,,,,,,
